algoritmo,tamaño,tiempo_s
BinaryInsertionSort,150,2.8792001103283837e-05
HeapSort,150,3.4604003303684294e-05
BucketSort,150,5.719199907616712e-05
CombSort,150,0.00010955499965348281
RadixSort,150,0.0001371670005028136
QuickSort,150,0.0001761050007189624
TimSort,150,0.00018179999824496917
TreeSort,150,0.00021715799812227488
SelectionSort,150,0.00034615899858181365
BitonicSort,150,0.0010511650034459308
GnomeSort,150,0.0015699850009696092
PigeonholeSort,150,0.08280467700024019
